Artist,Album,Title,Key,BPM,Energy
Aim High,Local Band Forever,Here Lies Kakarot's Hopes & Dreams(Feat. The Home Team & Donnell Rawlings),Fm,87.50,7
Aim High,Local Band Forever,Empty Streets (Feat. Driveways),Dm,98.00,7
Aim High,Local Band Forever,Better Than This (Feat. Broadside & Soulja Boy)),Cm,117.00,7
Air Dubai,Love Is Hopeless... 2013,Toxic,Gm,102.00,4
AIRAVATA,AIRAVATA,Juice WRLD x Iannior Clarity (Prod byIRAVATA),G#m,109.00,4
AIRAVATA,AIRAVATA,Post Malone x NAV Hollywood (Prod byIRAVATA),D#,130.80,3
AIRAVATA,AIRAVATA,NAV x Post Malone Starstruck (Prod byIRAVATA),F#m,135.20,3
AIRAVATA,AIRAVATA,NAV x Post Malonerift (Prod byIRAVATA),Fm,102.60,5
AIRAVATA,AIRAVATA,Lil Peep x Juice WRLD Visions (Prod byIRAVATA),C,80.86,6
AIRAVATA,AIRAVATA,NAV x Post Malone Gone (Prod byIRAVATA),A#,134.92,3
AIRAVATA,AIRAVATA,6lack x Juice WRLD x Kevin George Love Letter (Prod byIRAVATA x Omari Jr ),Gm,132.00,4
AIRAVATA,AIRAVATA,Post Malone x NAV Let Youown (Prod byIRAVATA),F#m,120.00,4
AIRAVATA,AIRAVATA,Gunna x Juice WRLDifferent Colors (Prod byIRAVATA),C#m,79.10,4
AIRAVATA,AIRAVATA,Trippie Redd x J Cole Levitate (Prod byIRAVATA),Cm,90.00,3
AIRAVATA,AIRAVATA,Post Malone x Juice WRLDall (Prod byIRAVATA),Gm,147.12,4
AIRAVATA,AIRAVATA,NAV xftertheparty Invisible (Prod byIRAVATA),A#m,130.24,3
AIRAVATA,AIRAVATA,NAV xuture x Post Malone Pluto (Prod byIRAVATA)m,D#m,140.00,4
Alan Braxe & Fred Falke,Intro,Intro (Original Club Mix),Fm,104.98,8
Alan Braxe & Fred Falke,Intro,Intro (Original Club Mix),Fm,140.02,7
ALEX COLLINS,ALEX COLLINS,Lil Uzi Vert x Juice WRLD MONEY UP Emo Guitar Trap ,Dm,154.93,4
ALEX COLLINS,ALEX COLLINS,Lil Tjay x Polo No Trustt Roddy Ricch ,Em,124.00,5
ALEX COLLINS,ALEX COLLINS,Lost Lil Peep (Type Beat),F#,150.07,7
ALEX COLLINS,ALEX COLLINS,Juice Wrld x Lil Skies BLACKHOLEt OliverrancisLEX COLLINS,F#m,155.00,4
